Emri,Të angazhuar Femra,Të angazhuar Meshkuj,Të rregullt Femra,Të rregullt Meshkuj,Femra,Meshkuj,Total,Perqindja Femra,Perqindja Meshkuj
Universiteti i Gjakovës Fehmi Agani,22,42,17,21,39,63,102,0.38235294117647056,0.6176470588235294
Universiteti I Shkencave të Aplikuara. Ferizaj,7,24,8,17,15,41,56,0.26785714285714285,0.7321428571428571
Universiteti Kadri Zeka Gjilan,43,93,16,45,59,138,197,0.29949238578680204,0.700507614213198
Universiteti Isa Boletini Mitrovicë,21,35,29,71,50,106,156,0.32051282051282054,0.6794871794871795
Universiteti Haxhi Zeka Pejë,19,86,30,44,49,130,179,0.2737430167597765,0.7262569832402235
Universiteti i Prizrenit Ukshin Hoti,43,93,16,45,59,138,197,0.29949238578680204,0.700507614213198
Fakulteti për Siguri Publike-Vushtrri,3,27,2,7,5,34,39,0.1282051282051282,0.8717948717948718
Universiteti i Prishtinës,168,306,327,573,495,879,1374,0.36026200873362446,0.6397379912663755
Fakulteti i Studimeve Islame,3,13,1,8,4,21,25,0.16,0.84
Kolegji AAB,80,94,197,241,277,335,612,0.4526143790849673,0.5473856209150327
Kolegji UBT,24,77,138,435,162,512,674,0.2403560830860534,0.7596439169139466
Kolegji Fama,1,80,21,89,22,169,191,0.11518324607329843,0.8848167539267016
