Emri,Të angazhuar Femra,Të angazhuar Meshkuj,Të rregullt Femra,Të rregullt Meshkuj,Femra,Meshkuj,Total,Perqindja Femra,Perqindja Meshkuj
Universiteti i Gjakovës Fehmi Agani,22.0,42.0,17.0,21.0,39.0,63.0,102.0,0.38235294117647056,0.6176470588235294
Universiteti I Shkencave të Aplikuara. Ferizaj,6.0,22.0,3.0,14.0,9.0,36.0,45.0,0.2,0.8
Universiteti Kadri Zeka Gjilan,19.0,86.0,30.0,44.0,49.0,130.0,179.0,0.2737430167597765,0.7262569832402235
Universiteti Isa Boletini Mitrovicë,21.0,35.0,29.0,71.0,50.0,106.0,156.0,0.32051282051282054,0.6794871794871795
Universiteti Haxhi Zeka Pejë,19.0,86.0,30.0,44.0,49.0,130.0,179.0,0.2737430167597765,0.7262569832402235
Universiteti i Prizrenit Ukshin Hoti,43.0,93.0,16.0,45.0,59.0,138.0,197.0,0.29949238578680204,0.700507614213198
Fakulteti për Siguri Publike-Vushtrri,3.0,27.0,2.0,7.0,5.0,34.0,39.0,0.1282051282051282,0.8717948717948718
Universiteti i Prishtinës,168.0,306.0,327.0,573.0,495.0,879.0,1374.0,0.36026200873362446,0.6397379912663755
Fakulteti i Studimeve Islame,3.0,13.0,1.0,8.0,4.0,21.0,25.0,0.16,0.84
Kolegji AAB,80.0,94.0,197.0,241.0,277.0,335.0,612.0,0.4526143790849673,0.5473856209150327
Kolegji Fama,1.0,80.0,21.0,89.0,22.0,169.0,191.0,0.11518324607329843,0.8848167539267016
Kolegji UBT,24.0,77.0,138.0,435.0,162.0,512.0,674.0,0.2403560830860534,0.7596439169139466
