Femra,Meshkuj,Gjithsej,Emri
23697.0,17443.0,41140.0,Universiteti i Prishtinës
1280.0,1236.0,2516.0,Universiteti i Shkencave të Aplikuara Ferizaj
1685.0,688.0,2373.0,Universiteti i Gjakovës Fehmi Agani
4790.0,6204.0,10994.0,Universiteti Kadri Zeka Gjilan
150.0,227.0,377.0,Fakulteti i Studimeve Islame
8259.0,7211.0,15470.0,Kolegji AAB
3200.0,5249.0,8449.0,Kolegji UBT
2031.0,1331.0,3362.0,Kolegji FAMA
3635.0,2506.0,5525.0,Universiteti Isa Boletini Mitrovicë
5759.0,6934.0,12693.0,Universiteti Haxhi Zeka Pejë
4056.0,2740.0,6796.0,Universiteti i Prizrenit Ukshin Hoti
18.0,161.0,179.0,Fakulteti për Siguri Publike-Vushtrri
