"Numri i stafit akademik dhe administrativ sipas gjinisë 2016-2018"

"fakulteti";"2017/2018 Te rregullt Femra";"2017/2018 Te rregullt Meshkuj";"2017/2018 Te rregullt Gjithsej";"2017/2018 Te angazhuar Femra";"2017/2018 Te angazhuar Meshkuj";"2017/2018 Te angazhuar Gjithsej"
"Filozofik";14;38;52;13;28;41
"Filologjisë";17;79;96;10;18;28
"SHMN";36;31;67;18;9;27
"Juridik";17;38;55;:;10;10
"Ekonomik";25;37;62;13;14;27
"Ndërt.&Arkitekturës";16;25;41;12;12;24
"Inxh.Ele.Kompju";10;22;32;4;33;37
"Inxh.Mekanike";4;35;39;8;22;30
"Mjekësisë";123;137;260;46;44;90
"Arteve";31;48;79;20;60;80
"Bujqësisë dhe Vetërinarisë";5;36;41;14;24;38
"FSHS";2;19;21;2;18;20
"Edukimit";27;28;55;8;14;22
"Gjithsej";327;573;900;168;306;474
