"Numri i përgjithshëm i studentëve në nivelin bachelor në vitin 2015-2018,në Universitetin Kadri Zeka Gjilan"

"viti";"programi i studimit";"Viti i  I Gjithsej";"Viti i  I Femra";"Viti i  I Meshkuj";"Viti i II Gjithsej";"Viti i II Femra";"Viti i II Meshkuj";"Viti i III Gjithsej";"Viti i III Femra";"Viti i III Meshkuj";"Viti i VI Gjithsej";"Viti i VI Femra";"Viti i VI Meshkuj"
"2017/2018";"Edukim";-;-;-;-;-;-;-;-;-;-;-;-
"2017/2018";"Ekonomik";-;-;-;-;-;-;-;-;-;-;-;-
"2017/2018";"Fakulteti i Biznesit";2984;1227;1757;1139;507;632;557;309;248;-;-;-
"2017/2018";"Juridik";1781;541;1240;611;306;305;547;297;250;669;391;278
"2017/2018";"Edukim/Fillor";-;-;-;-;-;-;-;-;-;-;-;-
"2017/2018";"Edukim/Parafillor";-;-;-;-;-;-;-;-;-;-;-;-
"2017/2018";"Ekonomik/ Banka, Financa dhe Kontabilitet";-;-;-;-;-;-;-;-;-;-;-;-
"2017/2018";"Ekonomik/ Menaxhmen";-;-;-;-;-;-;-;-;-;-;-;-
"2017/2018";"Fakulteti i Menaxhimit në Turizëm, Hotelieri dhe Mjedis";-;-;-;-;-;-;-;-;-;-;-;-
"2017/2018";"Fakulteti i Agrobiznesit";-;-;-;-;-;-;-;-;-;-;-;-
"2017/2018";"Fakulteti i Arteve";704;291;413;594;263;331;458;213;245;-;-;-
"2017/2018";"Ekonomik/ Marketing";330;150;180;196;102;94;193;103;90;-;-;-
"2017/2018";"Sh. kompjuterike";102;41;61;55;26;29;38;15;23;36;8;28
"2017/2018";"Gjithsej";5901;2250;3651;2595;1204;1391;1793;937;856;705;399;306
