"Numri i përgjithshëm i studentëve në nivelin bachelor në Kolegjet Private, 2015-2018"

"viti";"kolegji";"I.rë Femra";"I.rë Gjithsej";"II.të Femra";"II.të Gjithsej";"III.të Femra";"III.të Gjithsej";"IV.të Femra";"IV.të Gjithsej";"V.të Femra";"V.të Gjithsej";"VI-të Femra";"VI-të Gjithsej"
"2017/2018";"AAB";2776;4681;2234;3918;2081;3887;161;1317;-;-;-;-
"2017/2018";"AUK";54;114;40;100;55;102;50;110;-;-;-;-
"2017/2018";"Biznesi";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Desing Factori";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Fama";596;913;885;1266;296;593;107;343;-;-;-;-
"2017/2018";"Evropian i Kosovës";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Dukagjini";23;68;23;74;27;75;4;11;:;:;:;:
"2017/2018";"Gjilani";28;117;49;175;28;111;23;62;-;-;-;-
"2017/2018";"Humanistika";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"IBMC";-;-;29;74;27;42;26;43;-;-;-;-
"2017/2018";"Internacional";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"ISPE";89;249;153;423;217;542;31;65;-;-;-;-
"2017/2018";"Juridika";15;53;37;116;38;95;11;37;-;-;-;-
"2017/2018";"Pjeter Budi";11;56;44;152;48;284;-;-;-;-;-;-
"2017/2018";"QEAP Heimerer";364;538;383;531;303;441;-;-;-;-;-;-
"2017/2018";"Rezonanca";321;499;287;496;253;453;33;85;29;62;-;-
"2017/2018";"Riinvest";22;77;26;88;46;167;-;-;-;-;-;-
"2017/2018";"Tempulli";9;44;16;108;8;43;-;-;-;-;-;-
"2017/2018";"UBT";1218;3015;1013;2617;597;1935;26;51;-;-;-;-
"2017/2018";"Universi";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Akademia Evolucion";149;175;148;186;120;148;-;-;-;-;-;-
"2017/2018";"Dardania";154;223;234;399;263;443;14;34;-;-;-;-
"2017/2018";"ESLG";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Iliria";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Universum";491;875;325;657;265;650;299;641;-;-;-;-
"2017/2018";"Vizioni për Arsim";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Ekonomik i Ljublanes";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Eada";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Victory";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Globus";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Arbëri";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Gjithsej";6320;11697;5926;11380;4672;10011;785;2799;29;62;-;-
