"Numri i përgjithshëm i studentëve në nivelin master në Kolegjet Private, 2015-2018"

"viti";"kolegji";"I-rë Femra";"I-rë Gjithsej";"II-të Femra";"II-të Gjithsej"
"2017/2018";"AAB";580;936;427;731
"2017/2018";"AUK";-;:;-;:
"2017/2018";"Biznesi";:;:;:;:
"2017/2018";"Desing Factori";:;:;:;:
"2017/2018";"Fama";-;:;147;247
"2017/2018";"Evropian i Kosovës";:;:;:;:
"2017/2018";"Dukagjini";-;:;15;33
"2017/2018";"Gjilani";-;:;13;39
"2017/2018";"Humanistika";:;:;:;:
"2017/2018";"IBMC";-;-;-;-
"2017/2018";"Internacional";:;:;:;:
"2017/2018";"ISPE";22;87;34;134
"2017/2018";"Juridika";5;8;3;17
"2017/2018";"Pjeter Budi";8;31;17;52
"2017/2018";"QEAP Heimerer";-;-;-;-
"2017/2018";"Rezonanca";79;105;35;46
"2017/2018";"Riinvest";32;63;107;195
"2017/2018";"Tempulli";-;:;13;44
"2017/2018";"UBT";200;471;146;360
"2017/2018";"Universi";:;:;:;:
"2017/2018";"Akademia Evolucion";12;26;10;15
"2017/2018";"Dardania";-;-;29;45
"2017/2018";"ESLEG";:;:;:;:
"2017/2018";"Iliria";:;:;:;:
"2017/2018";"Universum";66;134;33;56
"2017/2018";"Vizioni për Arsim";:;:;:;:
"2017/2018";"Ekonomik i Ljublanes";:;:;:;:
"2017/2018";"Eada";:;:;:;:
"2017/2018";"Victory";:;:;:;:
"2017/2018";"Globus";:;:;:;:
"2017/2018";"Arbëri";:;:;:;:
"2017/2018";"Gjithsej";1004;1861;1029;2014
