"Numri i studentëve aktiv në nivelin bachelor në Universitetin e Pejës Haxhi Zeka, 2015-2018"

"viti";"programi i studimit";"Viti i  I Gjithsej";"Viti i  I Femra";"Viti i  I Meshkuj";"Viti i II Gjithsej";"Viti i II Femra";"Viti i II Meshkuj";"Viti i III Gjithsej";"Viti i III Femra";"Viti i III Meshkuj";"Viti i IV Gjithsej";"Viti i IV Femra";"Viti i IV Meshkuj"
"2017/2018";"Administrim Biznesi";2984;1227;1757;1139;507;632;557;309;248;-;-;-
"2017/2018";"Administrim Biznesi . Gjuhë boshnjake";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Kontabilitet dhe Financa";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Juridik i Përgjithshëm";1781;541;1240;611;306;305;547;297;250;669;391;278
"2017/2018";"Fakulteti i Arteve";102;41;61;55;26;29;38;15;23;36;8;28
"2017/2018";"Fakulteti i Agrobiznesit";330;150;180;196;102;94;193;103;90;-;-;-
"2017/2018";"Menaxhim në Turizëm dhe Hotelieri";704;291;413;594;263;331;458;213;245;-;-;-
"2017/2018";"Menaxhim në Turizëm . Gjuhë Boshnjake";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Teknologji e Prodhimit Bimorë";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Agromjedis dhe Agroekologji";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Teknologji Ushqimore";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Edukim në Muzikë";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Edukim i Përgjithshëm në Muzikë";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Edukim Artistik në instrumente Frymore";:;:;:;:;:;:;:;:;:;:;:;:
"2017/2018";"Gjithsej";5901;2250;3651;2595;1204;1391;1793;937;856;705;399;306
