"Numri i përgjithshëm i studentëve në nivelin master, Universiteti i Prishtinës Hasan Prishtina, 2016-2018"

"viti";"fakulteti /frogrami i studimit";"Viti i   I Femra";"Viti i   I Meshkuj";" Viti i  II Femra";" Viti i  II Meshkuj"
"2017/2018";"Filozofik";96;87;562;421
"2017/2018";"i Shkencave Matematike-Natyrore";106;123;191;156
"2017/2018";"i Filologjik";367;258;212;83
"2017/2018";"Juridik";190;168;-;-
"2017/2018";"Ekonomik";426;218;720;403
"2017/2018";"i Ndërtimtarisë dhe Arkitekturës";34;75;41;152
"2017/2018";"i Inxhinierisë Elektrike dhe Kompjuterike";29;30;96;143
"2017/2018";"i Inxhinierisë Mekanike";19;55;25;67
"2017/2018";"i Mjekësisë";26;4;40;5
"2017/2018";"i Arteve";56;36;-;-
"2017/2018";"i Bujqësisë dhe Veterinarisë";43;44;42;58
"2017/2018";"i Kulturës Fizike dhe Sportit";21;65;19;40
"2017/2018";"i Edukimit";338;101;225;101
"2017/2018";"Gjithsej";1751;1264;2173;1629
