"Numri i studentëve aktiv në Universitetin e Prizrenit Ukshin Hoti, niveli 5+ 6, 2015-2017"

"viti";"drejtimi.dega";"Niveli 5+6 Gjithsej";"Niveli 5+6 Femra";"Niveli 5+6 Meshkuj"
"2016/2017";"Ad. Biznesi";851;396;455
"2016/2017";"Men.ndërkomb";639;287;352
"2016/2017";"Juridik";1223;665;558
"2016/2017";"Software design";302;60;242
"2016/2017";"TIT boshnjak";108;42;66
"2016/2017";"TIT";461;137;324
"2016/2017";"TIT turke";56;25;31
"2016/2017";"Gjuhë angleze filologjik";436;333;103
"2016/2017";"Gjuhë gjermane filologjik";268;162;106
"2016/2017";"Gjuhë shqipe filologjik";316;245;71
"2016/2017";"Fillor boshnjak";116;78;38
"2016/2017";"Fillor turke";82;56;26
"2016/2017";"Programi fillor";960;757;203
"2016/2017";"Parashkollor gjuhe turke";78;74;4
"2016/2017";"Parashkollor";673;668;5
"2016/2017";"Parash..gj. turke";78;74;4
"2016/2017";"Parashkollor Boshnjake";22;17;5
"2016/2017";"Kimi   .fizikë.gj.boshnjake";13;5;8
"2016/2017";"Kimi fizike";-;-;-
"2016/2017";"Matematika.informatika gj. boshnjake";-;-;-
"2016/2017";"Matematika.informatika   gj.turke";-;-;-
"2016/2017";"Edukim.gjuhë   boshnjake";-;-;-
"2016/2017";"Edukim.gjuhë angleze";24;14;10
"2016/2017";"Edukim.gjuhë shqipe";3;3;-
"2016/2017";"Edukim .gjuhë gjermane";45;15;30
"2016/2017";"Administrim biznesi";-;-;-
"2016/2017";"Shkencat e pyjes dhe mjedisit";67;58;9
"2016/2017";"Agrobiznes";53;11;42
"2016/2017";"Auditim";-;-;-
"2016/2017";"Trashëgimia kulturore dhe menaxhm. i t";-;-;-
"2016/2017";"Shkencat kompjuterike";-;-;-
"2016/2017";"Gjithsej";6796;4056;2740
